"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"10:35:37.4400161 PM","notepad.exe","5324","RegOpenKey","HKLM\System\CurrentControlSet\Control\Lsa","SUCCESS","Desired Access: Query Value"
"10:35:37.4400368 PM","notepad.exe","5324","RegQueryValue","HKLM\System\CurrentControlSet\Control\Lsa\EveryoneIncludesAnonymous","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"10:35:37.4400619 PM","notepad.exe","5324","RegCloseKey","HKLM\System\CurrentControlSet\Control\Lsa","SUCCESS",""
"10:35:37.4404420 PM","notepad.exe","5324","RegQueryKey","HKCU\Software\Classes","SUCCESS","Query: Name"
"10:35:37.4404745 PM","notepad.exe","5324","RegQueryKey","HKCU\Software\Classes","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"10:35:37.4404931 PM","notepad.exe","5324","RegQueryKey","HKCU\Software\Classes","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"10:35:37.4405151 PM","notepad.exe","5324","RegOpenKey","HKCU\Software\Classes\Interface\{00000134-0000-0000-C000-000000000046}","NAME NOT FOUND","Desired Access: Read"
"10:35:37.4405521 PM","notepad.exe","5324","RegOpenKey","HKCR\Interface\{00000134-0000-0000-C000-000000000046}","SUCCESS","Desired Access: Read"
"10:35:37.4405906 PM","notepad.exe","5324","RegQueryKey","HKCR\Interface\{00000134-0000-0000-C000-000000000046}","SUCCESS","Query: Name"
"10:35:37.4406191 PM","notepad.exe","5324","RegQueryKey","HKCR\Interface\{00000134-0000-0000-C000-000000000046}","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"10:35:37.4406477 PM","notepad.exe","5324","RegOpenKey","HKCU\Software\Classes\Interface\{00000134-0000-0000-C000-000000000046}\ProxyStubClsid32","NAME NOT FOUND","Desired Access: Read"
"10:35:37.4406750 PM","notepad.exe","5324","RegQueryKey","HKCR\Interface\{00000134-0000-0000-C000-000000000046}","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"10:35:37.4406962 PM","notepad.exe","5324","RegOpenKey","HKCR\Interface\{00000134-0000-0000-C000-000000000046}\ProxyStubClsid32","SUCCESS","Desired Access: Read"
"10:35:37.4407228 PM","notepad.exe","5324","RegQueryKey","HKCR\Interface\{00000134-0000-0000-C000-000000000046}\ProxyStubClsid32","SUCCESS","Query: Name"
"10:35:37.4407475 PM","notepad.exe","5324","RegQueryKey","HKCR\Interface\{00000134-0000-0000-C000-000000000046}\ProxyStubClsid32","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"10:35:37.4407710 PM","notepad.exe","5324","RegOpenKey","HKCU\Software\Classes\Interface\{00000134-0000-0000-C000-000000000046}\ProxyStubClsid32","NAME NOT FOUND","Desired Access: Maximum Allowed"
"10:35:37.4408005 PM","notepad.exe","5324","RegQueryValue","HKCR\Interface\{00000134-0000-0000-C000-000000000046}\ProxyStubClsid32\(Default)","SUCCESS","Type: REG_SZ, Length: 78, Data: {00000320-0000-0000-C000-000000000046}"
"10:35:37.4408303 PM","notepad.exe","5324","RegCloseKey","HKCR\Interface\{00000134-0000-0000-C000-000000000046}\ProxyStubClsid32","SUCCESS",""
"10:35:37.4408508 PM","notepad.exe","5324","RegCloseKey","HKCR\Interface\{00000134-0000-0000-C000-000000000046}","SUCCESS",""
"10:35:37.4411436 PM","notepad.exe","5324","Thread Create","","SUCCESS","Thread ID: 3948"
"10:35:37.4620985 PM","notepad.exe","5324","Thread Create","","SUCCESS","Thread ID: 4340"
"10:35:37.4623529 PM","notepad.exe","5324","RegQueryKey","HKCU\Software\Classes","SUCCESS","Query: Name"
"10:35:37.4623962 PM","notepad.exe","5324","RegQueryKey","HKCU\Software\Classes","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"10:35:37.4624151 PM","notepad.exe","5324","RegQueryKey","HKCU\Software\Classes","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"10:35:37.4624403 PM","notepad.exe","5324","RegOpenKey","HKCU\Software\Classes\Interface\{C50898F6-C536-5F47-8583-8B2C2438A13B}","NAME NOT FOUND","Desired Access: Read"
"10:35:37.4624831 PM","notepad.exe","5324","RegOpenKey","HKCR\Interface\{C50898F6-C536-5F47-8583-8B2C2438A13B}","SUCCESS","Desired Access: Read"
"10:35:37.4625209 PM","notepad.exe","5324","RegQueryKey","HKCR\Interface\{c50898f6-c536-5f47-8583-8b2c2438a13b}","SUCCESS","Query: Name"
"10:35:37.4626077 PM","notepad.exe","5324","RegQueryKey","HKCR\Interface\{c50898f6-c536-5f47-8583-8b2c2438a13b}","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"10:35:37.4626396 PM","notepad.exe","5324","RegOpenKey","HKCU\Software\Classes\Interface\{c50898f6-c536-5f47-8583-8b2c2438a13b}\ProxyStubClsid32","NAME NOT FOUND","Desired Access: Read"
"10:35:37.4626711 PM","notepad.exe","5324","RegQueryKey","HKCR\Interface\{c50898f6-c536-5f47-8583-8b2c2438a13b}","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"10:35:37.4626919 PM","notepad.exe","5324","RegOpenKey","HKCR\Interface\{c50898f6-c536-5f47-8583-8b2c2438a13b}\ProxyStubClsid32","SUCCESS","Desired Access: Read"
"10:35:37.4627323 PM","notepad.exe","5324","RegQueryKey","HKCR\Interface\{c50898f6-c536-5f47-8583-8b2c2438a13b}\ProxyStubClsid32","SUCCESS","Query: Name"
"10:35:37.4627576 PM","notepad.exe","5324","RegQueryKey","HKCR\Interface\{c50898f6-c536-5f47-8583-8b2c2438a13b}\ProxyStubClsid32","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"10:35:37.4627818 PM","notepad.exe","5324","RegOpenKey","HKCU\Software\Classes\Interface\{c50898f6-c536-5f47-8583-8b2c2438a13b}\ProxyStubClsid32","NAME NOT FOUND","Desired Access: Maximum Allowed"
"10:35:37.4628117 PM","notepad.exe","5324","RegQueryValue","HKCR\Interface\{c50898f6-c536-5f47-8583-8b2c2438a13b}\ProxyStubClsid32\(Default)","SUCCESS","Type: REG_SZ, Length: 78, Data: {11659a23-5884-4d1b-9cf6-67d6f4f90b36}"
"10:35:37.4628499 PM","notepad.exe","5324","RegCloseKey","HKCR\Interface\{c50898f6-c536-5f47-8583-8b2c2438a13b}\ProxyStubClsid32","SUCCESS",""
"10:35:37.4628706 PM","notepad.exe","5324","RegCloseKey","HKCR\Interface\{c50898f6-c536-5f47-8583-8b2c2438a13b}","SUCCESS",""
"10:35:37.4629190 PM","notepad.exe","5324","RegQueryKey","HKCU\Software\Classes","SUCCESS","Query: Name"
"10:35:37.4629445 PM","notepad.exe","5324","RegQueryKey","HKCU\Software\Classes","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"10:35:37.4629616 PM","notepad.exe","5324","RegQueryKey","HKCU\Software\Classes","SUCCESS","Query: HandleTags, HandleTags: 0x0"
