"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"9:52:34.0676282 AM","AUDIODG.EXE","1768","FASTIO_RELEASE_FOR_SECTION_SYNCHRONIZATION","C:\Windows\System32\WMALFXGFXDSP.dll","SUCCESS",""
"9:52:34.0678038 AM","AUDIODG.EXE","1768","CreateFileMapping","C:\Windows\System32\WMALFXGFXDSP.dll","SUCCESS","SyncType: SyncTypeOther"
"9:52:34.0678409 AM","AUDIODG.EXE","1768","FASTIO_RELEASE_FOR_SECTION_SYNCHRONIZATION","C:\Windows\System32\WMALFXGFXDSP.dll","SUCCESS",""
"9:52:34.0681035 AM","AUDIODG.EXE","1768","Load Image","C:\Windows\System32\WMALFXGFXDSP.dll","SUCCESS","Image Base: 0x7fff5e8c0000, Image Size: 0x1bc000"
"9:52:34.0684136 AM","AUDIODG.EXE","1768","CloseFile","C:\Windows\System32\WMALFXGFXDSP.dll","SUCCESS",""
"9:52:34.0684648 AM","AUDIODG.EXE","1768","IRP_MJ_CLOSE","C:\Windows\System32\WMALFXGFXDSP.dll","SUCCESS",""
"9:52:34.0688135 AM","AUDIODG.EXE","1768","RegQueryKey","HKCR","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"9:52:34.0688592 AM","AUDIODG.EXE","1768","RegOpenKey","HKCR\Interface\{FD7F2B29-24D0-4B5C-B177-592C39F9CA10}","SUCCESS","Desired Access: Read"
"9:52:34.0689599 AM","AUDIODG.EXE","1768","RegQueryKey","HKCR\Interface\{FD7F2B29-24D0-4B5C-B177-592C39F9CA10}","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"9:52:34.0690568 AM","AUDIODG.EXE","1768","RegOpenKey","HKCR\Interface\{FD7F2B29-24D0-4B5C-B177-592C39F9CA10}\ProxyStubClsid32","SUCCESS","Desired Access: Read"
"9:52:34.0691290 AM","AUDIODG.EXE","1768","RegQueryValue","HKCR\Interface\{FD7F2B29-24D0-4B5C-B177-592C39F9CA10}\ProxyStubClsid32\(Default)","SUCCESS","Type: REG_SZ, Length: 78, Data: {FD7F2B29-24D0-4B5C-B177-592C39F9CA10}"
"9:52:34.0691884 AM","AUDIODG.EXE","1768","RegCloseKey","HKCR\Interface\{FD7F2B29-24D0-4B5C-B177-592C39F9CA10}\ProxyStubClsid32","SUCCESS",""
"9:52:34.0692257 AM","AUDIODG.EXE","1768","RegCloseKey","HKCR\Interface\{FD7F2B29-24D0-4B5C-B177-592C39F9CA10}","SUCCESS",""
"9:52:34.1122379 AM","AUDIODG.EXE","1768","RegQueryKey","HKCR","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"9:52:34.1122882 AM","AUDIODG.EXE","1768","RegOpenKey","HKCR\CLSID\{BCDE0395-E52F-467C-8E3D-C4579291692E}","SUCCESS","Desired Access: Read"
"9:52:34.1123451 AM","AUDIODG.EXE","1768","RegQueryKey","HKCR\CLSID\{BCDE0395-E52F-467C-8E3D-C4579291692E}","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"9:52:34.1123797 AM","AUDIODG.EXE","1768","RegOpenKey","HKCR\CLSID\{BCDE0395-E52F-467C-8E3D-C4579291692E}\TreatAs","NAME NOT FOUND","Desired Access: Query Value"
"9:52:34.1124240 AM","AUDIODG.EXE","1768","RegQueryKey","HKCR\CLSID\{BCDE0395-E52F-467C-8E3D-C4579291692E}","SUCCESS","Query: Name"
"9:52:34.1124807 AM","AUDIODG.EXE","1768","RegQueryValue","HKCR\CLSID\{BCDE0395-E52F-467C-8E3D-C4579291692E}\ActivateOnHostFlags","NAME NOT FOUND","Length: 16"
"9:52:34.1125187 AM","AUDIODG.EXE","1768","RegQueryValue","HKCR\CLSID\{BCDE0395-E52F-467C-8E3D-C4579291692E}\(Default)","BUFFER OVERFLOW","Length: 12"
"9:52:34.1125563 AM","AUDIODG.EXE","1768","RegQueryValue","HKCR\CLSID\{BCDE0395-E52F-467C-8E3D-C4579291692E}\(Default)","SUCCESS","Type: REG_SZ, Length: 50, Data: MMDeviceEnumerator class"
"9:52:34.1125965 AM","AUDIODG.EXE","1768","RegQueryKey","HKCR\CLSID\{BCDE0395-E52F-467C-8E3D-C4579291692E}","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"9:52:34.1126301 AM","AUDIODG.EXE","1768","RegOpenKey","HKCR\CLSID\{BCDE0395-E52F-467C-8E3D-C4579291692E}\InprocServer32","SUCCESS","Desired Access: Read"
"9:52:34.1126710 AM","AUDIODG.EXE","1768","RegQueryValue","HKCR\CLSID\{BCDE0395-E52F-467C-8E3D-C4579291692E}\InprocServer32\InprocServer32","NAME NOT FOUND","Length: 12"
"9:52:34.1127065 AM","AUDIODG.EXE","1768","RegQueryValue","HKCR\CLSID\{BCDE0395-E52F-467C-8E3D-C4579291692E}\InprocServer32\(Default)","BUFFER OVERFLOW","Length: 12"
"9:52:34.1127433 AM","AUDIODG.EXE","1768","RegQueryValue","HKCR\CLSID\{BCDE0395-E52F-467C-8E3D-C4579291692E}\InprocServer32\(Default)","SUCCESS","Type: REG_EXPAND_SZ, Length: 70, Data: %SystemRoot%\System32\MMDevApi.dll"
